0,100000
1,99348
2,99302
3,99273
4,99252
5,99235
6,99219
7,99205
8,99192
9,99180
10,99170
11,99161
12,99151
13,99138
14,99119
15,99091
16,99052
17,99003
18,98943
19,98870
20,98785
21,98685
22,98572
23,98449
24,98321
25,98191
26,98060
27,97928
28,97795
29,97659
30,97519
31,97376
32,97230
33,97080
34,96927
35,96772
36,96612
37,96448
38,96277
39,96097
40,95908
41,95708
42,95493
43,95262
44,95012
45,94739
46,94441
47,94115
48,93759
49,93368
50,92940
51,92472
52,91961
53,91406
54,90804
55,90153
56,89450
57,88693
58,87883
59,87022
60,86112
61,85147
62,84125
63,83042
64,81899
65,80691
66,79412
67,78054
68,76613
69,75084
70,73461
71,71732
72,69889
73,67930
74,65853
75,63657
76,61329
77,58859
78,56249
79,53504
80,50629
81,47621
82,44484
83,41233
84,37890
85,34482
86,31040
87,27598
88,24201
89,20896
90,17735
91,14768
92,12043
93,9599
94,7463
95,5647
96,4157
97,2977
98,2075
99,1410
100,935
101,605
102,380
103,232
104,137
105,78
106,43
107,23
108,11
109,5
110,2
111,1
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
