,spend_mean,spend_sd,spend_min,spend_max
0,4.52177929944,0.492268905151,3.384128,5.53529966667
1,4.66474654568,0.718468683467,2.96068629793,6.41657427
2,4.80645530097,0.848764680478,3.13332874285,6.627916944
3,4.98034752973,1.04718748767,3.31403725303,7.7688067401
4,5.16915904145,1.19919676189,3.24339081587,8.22695908805
5,5.38013684542,1.34333615868,2.99435167022,8.30872968414
6,5.59564235673,1.56726438446,3.04071984207,9.40616966897
7,5.8358770561,1.79331232433,3.17299644742,9.77023966257
8,6.03413889001,1.92371706782,2.9337790018,9.46584284859
9,6.26280729632,2.13958131622,3.11630510765,10.9434856408
10,6.56390201006,2.4318130676,3.07743923759,11.4122851876
11,6.88814708026,2.77050336433,3.12024669516,12.2615225772
12,7.25116725632,3.15337651514,2.91998845783,14.4523133626
13,7.6517793855,3.62785744745,2.95583156259,17.3442229718
14,8.05238010221,4.02628826975,3.15208473041,18.5853093525
15,8.43498006226,4.39776763729,2.89549153317,19.8959430435
16,8.81344782152,4.78503972654,2.99738578813,23.949400072
17,9.19354781279,5.06568390691,3.22644202215,25.7037481422
18,9.53830062794,5.27944154406,3.40933525491,24.7770892784
19,9.88169092527,5.3951225485,3.30210549854,24.1605149817
20,10.2408430754,5.48617351039,3.66293373012,23.4392050865
21,10.6075629019,5.60249859157,3.76978667232,23.4749936864
22,10.9198175164,5.72210729926,3.84924574794,24.533859442
23,11.2030702028,5.84608238121,4.27274669995,24.5613683253
24,11.4190911037,5.84878457886,4.21660191382,26.3345552281
25,11.5867009192,5.75544912773,4.06729626546,26.9022223542
26,11.7154189169,5.57947832877,4.40686368477,24.3807757965
27,11.8078210113,5.64868712333,4.43774431279,24.7513643651
28,11.8036281769,5.97019322127,4.08035211629,26.1730339268
29,10.2175875006,6.28020784126,2.59597005726,25.1445481603
