0,76.28
1,75.78
2,74.82
3,73.84
4,72.85
5,71.87
6,70.88
7,69.89
8,68.9
9,67.9
10,66.91
11,65.92
12,64.92
13,63.93
14,62.94
15,61.96
16,60.99
17,60.02
18,59.05
19,58.09
20,57.14
21,56.2
22,55.27
23,54.33
24,53.4
25,52.47
26,51.54
27,50.61
28,49.68
29,48.75
30,47.82
31,46.89
32,45.96
33,45.03
34,44.1
35,43.17
36,42.24
37,41.31
38,40.38
39,39.46
40,38.53
41,37.61
42,36.7
43,35.78
44,34.88
45,33.98
46,33.08
47,32.19
48,31.32
49,30.44
50,29.58
51,28.73
52,27.89
53,27.05
54,26.23
55,25.41
56,24.61
57,23.82
58,23.03
59,22.25
60,21.48
61,20.72
62,19.97
63,19.22
64,18.48
65,17.75
66,17.03
67,16.32
68,15.61
69,14.92
70,14.24
71,13.57
72,12.92
73,12.27
74,11.65
75,11.03
76,10.43
77,9.85
78,9.28
79,8.73
80,8.2
81,7.68
82,7.19
83,6.72
84,6.27
85,5.84
86,5.43
87,5.04
88,4.68
89,4.34
90,4.03
91,3.74
92,3.47
93,3.23
94,3.01
95,2.82
96,2.64
97,2.49
98,2.36
99,2.24
100,2.12
101,2.01
102,1.9
103,1.8
104,1.7
105,1.6
106,1.51
107,1.42
108,1.34
109,1.26
110,1.18
111,1.11
112,1.04
113,0.97
114,0.9
115,0.84
116,0.78
117,0.72
118,0.67
119,0.61
